59,1202069142,59,116.37782,39.83254,59,59,1202069444,59,116.37781,39.83251,59
44,1202069280,44,116.41111,39.92754,44,44,1202069582,44,116.41091,39.92761,44
43,1202069219,43,116.35317,39.93503,43,43,1202069519,43,116.35303,39.93516,43
28,1202069189,28,116.39688,39.99224,28,28,1202069489,28,116.39725,39.99209,28
41,1202069235,41,116.25731,39.91872,41,41,1202069535,41,116.25732,39.91873,41
36,1202069133,36,116.39665,39.97331,36,36,1202069433,36,116.3966,39.97329,36
43,1202069189,43,116.35952,39.93666,43,43,1202069491,43,116.35943,39.93678,43
29,1202069166,29,116.47344,39.97521,29,29,1202069166,29,116.47344,39.97521,29
27,1202069102,27,116.37661,39.98785,27,27,1202069402,27,116.37666,39.98785,27
44,1202069148,44,116.40096,39.91437,44,44,1202069550,44,116.41009,39.91422,44
30,1202069399,30,116.50173,39.9974,30,30,1202069701,30,116.5018,39.99756,30
52,1202069144,52,116.40311,39.86724,52,52,1202069444,52,116.40311,39.86727,52
30,1202069114,30,116.49994,40.00708,30,30,1202069416,30,116.49995,40.00707,30
35,1202069208,35,116.37788,39.96157,35,35,1202069508,35,116.37788,39.9615,35
44,1202069379,44,116.42913,39.92318,44,52,1202069681,52,116.43856,39.88708,52
45,1202069173,45,116.46491,39.912,45,45,1202069475,45,116.46493,39.91207,45
53,1202069149,53,116.45356,39.88925,53,53,1202069753,53,116.45355,39.88922,53
18,1202069185,18,116.3325,40.04168,18,18,1202069402,18,116.31401,40.04745,18
58,1202069384,58,116.32046,39.85853,58,58,1202069686,58,116.32046,39.85852,58
35,1202069280,35,116.37939,39.96768,35,35,1202069580,35,116.37932,39.96779,35
30,1202069224,30,116.50167,40.00663,30,30,1202069526,30,116.50167,40.00663,30
45,1202069236,45,116.47304,39.9191,45,45,1202069536,45,116.47304,39.91915,45
43,1202069223,43,116.37515,39.91547,43,43,1202069525,43,116.37508,39.91545,43
62,1202069176,62,116.50039,39.8662,62,54,1202069476,54,116.50021,39.86629,54
53,1202069186,53,116.46256,39.88133,53,53,1202069487,53,116.46273,39.88128,53
44,1202069187,44,116.44036,39.92566,44,44,1202069377,44,116.44036,39.92566,44
44,1202069377,44,116.44036,39.92566,44,44,1202069488,44,116.43872,39.92558,44
43,1202069230,43,116.37002,39.93268,43,43,1202069530,43,116.36996,39.93252,43
45,1202069246,45,116.44688,39.92023,45,44,1202069547,44,116.4399,39.92588,44
